carat,cut,color,clarity,depth,table,price,x,y,z,volume,x/y_ratio,t/d_ratio,category_color,category_clarity
0.3,Fair,J,VS2,64.8,58.0,416,4.24,4.16,2.72,47.98,1.02,0.9,Near Colorless,Very Slightly Included
1.02,Premium,I,SI1,62.7,58.0,4227,6.44,6.41,4.03,166.36,1.0,0.93,Near Colorless,Slightly Included
0.56,Premium,E,VS2,61.8,56.0,1915,5.31,5.28,3.27,91.68,1.01,0.91,Colorless,Very Slightly Included
1.51,Very Good,F,VS1,62.6,57.0,14976,7.25,7.29,4.55,240.48,0.99,0.91,Colorless,Very Slightly Included
1.13,Premium,I,SI1,61.8,59.0,4536,6.65,6.68,4.12,183.02,1.0,0.95,Near Colorless,Slightly Included
0.34,Ideal,I,SI1,61.9,57.0,589,4.48,4.44,2.76,54.9,1.01,0.92,Near Colorless,Slightly Included
1.16,Premium,H,SI2,58.8,61.0,4157,6.93,6.84,4.05,191.97,1.01,1.04,Near Colorless,Slightly Included
0.38,Very Good,F,VS2,59.7,57.0,752,4.73,4.79,2.84,64.35,0.99,0.95,Colorless,Very Slightly Included
1.03,Premium,G,SI1,60.5,60.0,5105,6.52,6.48,3.93,166.04,1.01,0.99,Near Colorless,Slightly Included
0.9,Very Good,E,SI2,62.2,54.0,3715,6.13,6.21,3.84,146.18,0.99,0.87,Colorless,Slightly Included
0.5,Very Good,D,SI1,62.8,58.0,1415,5.02,5.05,3.16,80.11,0.99,0.92,Colorless,Slightly Included
0.3,Ideal,F,SI1,62.2,54.2,499,4.31,4.34,2.69,50.32,0.99,0.87,Colorless,Slightly Included
0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,104.85,1.0,0.91,Colorless,Very Slightly Included
0.91,Fair,F,SI2,65.3,51.0,2996,6.05,5.98,3.93,142.18,1.01,0.78,Colorless,Slightly Included
1.24,Premium,G,VVS1,60.4,59.0,10485,7.02,7.01,4.24,208.65,1.0,0.98,Near Colorless,Very Very Slightly Included
2.3,Ideal,I,SI2,61.8,57.0,16329,8.48,8.45,5.23,374.76,1.0,0.92,Near Colorless,Slightly Included
0.27,Ideal,E,VS1,61.6,56.0,603,4.17,4.14,2.56,44.2,1.01,0.91,Colorless,Very Slightly Included
1.0,Premium,J,VVS2,59.6,61.0,3864,6.4,6.36,3.8,154.68,1.01,1.02,Near Colorless,Very Very Slightly Included
0.71,Ideal,G,VS2,62.9,56.0,2443,5.73,5.68,3.59,116.84,1.01,0.89,Near Colorless,Very Slightly Included
0.36,Premium,E,SI1,60.8,59.0,810,4.59,4.56,2.78,58.19,1.01,0.97,Colorless,Slightly Included
0.31,Ideal,D,SI2,62.1,57.0,593,4.34,4.32,2.69,50.43,1.0,0.92,Colorless,Slightly Included
0.93,Ideal,H,SI1,62.8,56.0,3988,6.19,6.27,3.91,151.75,0.99,0.89,Near Colorless,Slightly Included
0.33,Good,D,VS2,61.8,61.0,652,4.4,4.44,2.73,53.33,0.99,0.99,Colorless,Very Slightly Included
1.77,Premium,G,SI2,62.7,59.0,9664,7.67,7.66,4.8,282.01,1.0,0.94,Near Colorless,Slightly Included
1.06,Ideal,E,SI2,62.2,55.0,5223,6.51,6.54,4.06,172.86,1.0,0.88,Colorless,Slightly Included
1.21,Ideal,G,SI2,62.1,57.0,5226,6.8,6.85,4.24,197.5,0.99,0.92,Near Colorless,Slightly Included
0.3,Ideal,E,VVS1,62.3,55.0,826,4.29,4.32,2.68,49.67,0.99,0.88,Colorless,Very Very Slightly Included
1.27,Ideal,I,VS2,62.6,57.0,6401,6.92,6.88,4.32,205.67,1.01,0.91,Near Colorless,Very Slightly Included
0.92,Very Good,D,SI2,62.4,60.0,4168,6.21,6.25,3.89,150.98,0.99,0.96,Colorless,Slightly Included
0.31,Ideal,I,VS1,61.9,54.0,489,4.34,4.38,2.7,51.32,0.99,0.87,Near Colorless,Very Slightly Included
2.01,Good,H,VS2,57.8,60.0,18561,8.29,8.35,4.81,332.96,0.99,1.04,Near Colorless,Very Slightly Included
1.51,Ideal,G,VS1,61.9,57.0,14674,7.37,7.34,4.55,246.14,1.0,0.92,Near Colorless,Very Slightly Included
1.83,Very Good,G,VS2,60.5,59.0,18358,7.89,7.99,4.8,302.6,0.99,0.98,Near Colorless,Very Slightly Included
0.38,Premium,F,VS1,62.4,59.0,933,4.57,4.63,2.87,60.73,0.99,0.95,Colorless,Very Slightly Included
0.23,Premium,F,VVS2,61.3,59.0,445,3.94,3.99,2.43,38.2,0.99,0.96,Colorless,Very Very Slightly Included
0.92,Ideal,I,SI1,62.1,55.0,3610,6.24,6.29,3.89,152.68,0.99,0.89,Near Colorless,Slightly Included
1.5,Premium,D,SI1,62.4,58.0,12069,7.27,7.31,4.55,241.8,0.99,0.93,Colorless,Slightly Included
0.32,Very Good,G,VS1,62.1,55.0,645,4.41,4.44,2.75,53.85,0.99,0.89,Near Colorless,Very Slightly Included
1.0,Ideal,F,SI2,61.2,57.0,4372,6.39,6.48,3.94,163.14,0.99,0.93,Colorless,Slightly Included
0.31,Very Good,F,VVS1,59.4,57.0,779,4.39,4.43,2.62,50.95,0.99,0.96,Colorless,Very Very Slightly Included
0.52,Good,F,SI2,58.7,64.0,1350,5.24,5.26,3.08,84.89,1.0,1.09,Colorless,Slightly Included
2.01,Ideal,H,SI2,62.5,53.9,14998,8.04,8.07,5.04,327.01,1.0,0.86,Near Colorless,Slightly Included
0.31,Ideal,G,VVS2,62.2,55.0,565,4.32,4.36,2.7,50.86,0.99,0.88,Near Colorless,Very Very Slightly Included
0.77,Very Good,J,SI1,61.0,59.0,2086,5.94,5.99,3.64,129.51,0.99,0.97,Near Colorless,Slightly Included
1.13,Very Good,H,SI2,59.8,59.0,4537,6.75,6.82,4.06,186.9,0.99,0.99,Near Colorless,Slightly Included
0.32,Ideal,D,SI1,62.6,55.0,589,4.36,4.39,2.74,52.44,0.99,0.88,Colorless,Slightly Included
2.07,Premium,E,SI1,61.2,58.0,16957,8.24,8.19,5.03,339.45,1.01,0.95,Colorless,Slightly Included
0.71,Premium,G,VS2,60.3,59.0,2443,5.79,5.76,3.48,116.06,1.01,0.98,Near Colorless,Very Slightly Included
1.11,Ideal,F,VS2,60.4,58.0,7275,6.73,6.66,4.04,181.08,1.01,0.96,Colorless,Very Slightly Included
1.02,Premium,F,SI2,61.1,59.0,4541,6.45,6.41,3.93,162.48,1.01,0.97,Colorless,Slightly Included
1.56,Ideal,H,VS2,61.5,56.0,11636,7.5,7.46,4.6,257.37,1.01,0.91,Near Colorless,Very Slightly Included
0.34,Very Good,I,VS2,61.6,56.0,457,4.47,4.51,2.76,55.64,0.99,0.91,Near Colorless,Very Slightly Included
0.96,Premium,G,SI2,62.7,60.0,3215,6.29,6.11,3.89,149.5,1.03,0.96,Near Colorless,Slightly Included
0.31,Premium,D,VS2,62.3,55.0,942,4.35,4.32,2.7,50.74,1.01,0.88,Colorless,Very Slightly Included
0.64,Very Good,G,VS1,60.4,62.0,2060,5.54,5.58,3.36,103.87,0.99,1.03,Near Colorless,Very Slightly Included
1.01,Premium,F,VVS1,62.5,58.0,7882,6.41,6.35,3.99,162.41,1.01,0.93,Colorless,Very Very Slightly Included
0.35,Ideal,H,VVS2,62.5,57.0,706,4.48,4.54,2.82,57.36,0.99,0.91,Near Colorless,Very Very Slightly Included
0.7,Premium,F,SI2,62.5,60.0,2373,5.66,5.61,3.52,111.77,1.01,0.96,Colorless,Slightly Included
0.3,Ideal,H,VS1,62.1,54.0,675,4.35,4.32,2.69,50.55,1.01,0.87,Near Colorless,Very Slightly Included
0.71,Ideal,H,VVS1,61.1,56.0,3137,5.78,5.81,3.53,118.54,0.99,0.92,Near Colorless,Very Very Slightly Included
0.31,Ideal,G,IF,61.1,57.0,871,4.38,4.42,2.68,51.88,0.99,0.93,Near Colorless,Internally Flawless
2.25,Ideal,E,I1,61.4,54.0,9072,8.52,8.46,5.21,375.53,1.01,0.88,Colorless,Included
1.18,Premium,I,SI1,62.8,56.0,5088,6.74,6.71,4.22,190.85,1.0,0.89,Near Colorless,Slightly Included
1.22,Very Good,G,SI2,63.2,58.0,6409,6.82,6.76,4.29,197.78,1.01,0.92,Near Colorless,Slightly Included
1.72,Ideal,G,VS2,62.8,57.0,12830,7.65,7.58,4.78,277.18,1.01,0.91,Near Colorless,Very Slightly Included
2.01,Ideal,F,SI2,61.7,56.0,18394,8.12,8.16,5.02,332.62,1.0,0.91,Colorless,Slightly Included
1.03,Premium,G,SI1,60.1,60.0,5581,6.55,6.52,3.93,167.83,1.0,1.0,Near Colorless,Slightly Included
0.7,Ideal,F,VS2,62.0,56.0,2671,5.71,5.74,3.55,116.35,0.99,0.9,Colorless,Very Slightly Included
1.01,Good,E,SI1,64.3,59.0,5379,6.23,6.28,4.02,157.28,0.99,0.92,Colorless,Slightly Included
1.0,Fair,H,VS1,64.6,59.0,5242,6.3,6.26,4.06,160.12,1.01,0.91,Near Colorless,Very Slightly Included
1.1,Ideal,F,VVS2,61.2,56.0,10487,6.66,6.74,4.1,184.04,0.99,0.92,Colorless,Very Very Slightly Included
0.59,Ideal,D,IF,60.9,57.0,4208,5.4,5.43,3.3,96.76,0.99,0.94,Colorless,Internally Flawless
0.3,Very Good,H,VS2,63.5,59.0,608,4.27,4.2,2.69,48.24,1.02,0.93,Near Colorless,Very Slightly Included
0.56,Ideal,E,VS1,61.3,55.0,1930,5.29,5.32,3.25,91.46,0.99,0.9,Colorless,Very Slightly Included
0.9,Premium,F,SI1,61.7,62.0,3936,6.19,6.13,3.8,144.19,1.01,1.0,Colorless,Slightly Included
0.57,Very Good,E,VS2,60.7,58.0,1732,5.37,5.33,3.25,93.02,1.01,0.96,Colorless,Very Slightly Included
0.72,Ideal,D,SI2,61.2,57.0,2328,5.76,5.8,3.54,118.26,0.99,0.93,Colorless,Slightly Included
1.0,Fair,H,SI1,65.5,57.0,3511,6.26,6.21,4.08,158.61,1.01,0.87,Near Colorless,Slightly Included
0.4,Ideal,G,VVS1,62.1,53.0,1043,4.75,4.79,2.96,67.35,0.99,0.85,Near Colorless,Very Very Slightly Included
1.22,Premium,I,SI2,62.3,58.0,4831,6.8,6.85,4.25,197.96,0.99,0.93,Near Colorless,Slightly Included
1.02,Ideal,G,IF,62.3,57.0,8955,6.43,6.5,4.03,168.43,0.99,0.91,Near Colorless,Internally Flawless
1.08,Ideal,H,VS2,61.8,56.0,5625,6.59,6.55,4.06,175.25,1.01,0.91,Near Colorless,Very Slightly Included
0.33,Premium,G,IF,60.8,58.0,1052,4.46,4.42,2.7,53.23,1.01,0.95,Near Colorless,Internally Flawless
0.42,Very Good,E,VVS2,59.8,56.0,1167,4.9,4.92,2.94,70.88,1.0,0.94,Colorless,Very Very Slightly Included
1.36,Very Good,F,SI1,62.8,53.0,6597,7.05,7.1,4.45,222.74,0.99,0.84,Colorless,Slightly Included
0.58,Ideal,F,VS1,62.1,56.0,2088,5.38,5.32,3.32,95.02,1.01,0.9,Colorless,Very Slightly Included
1.02,Good,G,SI1,63.6,58.0,4964,6.34,6.39,4.05,164.08,0.99,0.91,Near Colorless,Slightly Included
1.19,Good,E,VS2,57.4,60.0,6937,6.9,7.0,3.99,192.72,0.99,1.05,Colorless,Very Slightly Included
2.01,Good,D,SI2,64.6,55.0,15394,7.85,7.98,5.11,320.11,0.98,0.85,Colorless,Slightly Included
1.15,Very Good,F,SI2,63.1,63.0,4915,6.67,6.57,4.18,183.18,1.02,1.0,Colorless,Slightly Included
0.79,Premium,D,SI2,60.0,60.0,2853,6.07,6.03,3.63,132.87,1.01,1.0,Colorless,Slightly Included
0.32,Premium,D,VS2,62.9,59.0,842,4.39,4.36,2.75,52.64,1.01,0.94,Colorless,Very Slightly Included
0.31,Ideal,F,VS2,61.6,56.0,749,4.38,4.35,2.69,51.25,1.01,0.91,Colorless,Very Slightly Included
0.54,Very Good,F,VS1,61.0,58.0,1813,5.24,5.25,3.2,88.03,1.0,0.95,Colorless,Very Slightly Included
0.5,Very Good,D,VS2,62.8,60.0,1627,5.02,5.08,3.17,80.84,0.99,0.96,Colorless,Very Slightly Included
1.86,Very Good,H,SI2,62.3,57.0,11416,7.82,7.85,4.88,299.57,1.0,0.91,Near Colorless,Slightly Included
1.04,Very Good,H,VS2,60.9,58.0,5447,6.5,6.6,3.99,171.17,0.98,0.95,Near Colorless,Very Slightly Included
1.41,Ideal,G,VS2,60.8,55.0,10581,7.27,7.2,4.4,230.31,1.01,0.9,Near Colorless,Very Slightly Included
0.3,Ideal,E,SI1,61.6,54.0,499,4.32,4.35,2.67,50.17,0.99,0.88,Colorless,Slightly Included
0.33,Ideal,H,VS1,61.6,55.0,610,4.46,4.48,2.75,54.95,1.0,0.89,Near Colorless,Very Slightly Included
1.06,Ideal,D,SI1,62.7,54.0,6055,6.55,6.52,4.1,175.09,1.0,0.86,Colorless,Slightly Included
0.31,Ideal,I,SI2,62.0,54.1,372,4.32,4.35,2.69,50.55,0.99,0.87,Near Colorless,Slightly Included
0.91,Good,G,SI1,64.3,60.0,3344,6.04,6.12,3.91,144.53,0.99,0.93,Near Colorless,Slightly Included
0.75,Very Good,J,SI1,62.4,56.0,2083,5.78,5.82,3.62,121.78,0.99,0.9,Near Colorless,Slightly Included
0.3,Very Good,F,IF,62.1,57.0,886,4.26,4.3,2.66,48.73,0.99,0.92,Colorless,Internally Flawless
0.41,Ideal,D,VVS1,60.6,57.0,1582,4.82,4.79,2.91,67.19,1.01,0.94,Colorless,Very Very Slightly Included
1.01,Premium,H,SI2,59.4,62.0,3083,6.47,6.43,3.83,159.34,1.01,1.04,Near Colorless,Slightly Included
1.02,Very Good,G,VVS1,63.0,58.0,7657,6.4,6.43,4.04,166.25,1.0,0.92,Near Colorless,Very Very Slightly Included
0.27,Ideal,G,VS1,62.3,53.0,527,4.16,4.19,2.6,45.32,0.99,0.85,Near Colorless,Very Slightly Included
0.7,Very Good,F,SI1,62.6,56.0,2196,5.66,5.72,3.56,115.26,0.99,0.89,Colorless,Slightly Included
1.51,Ideal,I,VS2,62.3,57.0,9297,7.28,7.37,4.56,244.66,0.99,0.91,Near Colorless,Very Slightly Included
2.22,Ideal,J,SI2,62.8,57.0,13703,8.33,8.29,5.22,360.47,1.0,0.91,Near Colorless,Slightly Included
0.54,Premium,G,VS2,62.7,58.0,1422,5.21,5.25,3.28,89.72,0.99,0.93,Near Colorless,Very Slightly Included
1.23,Premium,D,SI2,58.9,58.0,5283,6.99,6.97,4.11,200.24,1.0,0.98,Colorless,Slightly Included
0.9,Good,E,SI1,63.9,57.0,3795,6.12,6.08,3.9,145.12,1.01,0.89,Colorless,Slightly Included
0.88,Fair,F,SI1,56.6,65.0,2882,6.39,6.32,3.6,145.39,1.01,1.15,Colorless,Slightly Included
0.7,Fair,G,SI2,58.6,56.0,2208,5.8,5.74,3.38,112.53,1.01,0.96,Near Colorless,Slightly Included
0.31,Premium,H,SI1,62.7,58.0,558,4.34,4.31,2.71,50.69,1.01,0.93,Near Colorless,Slightly Included
1.25,Ideal,G,SI2,61.1,55.0,6371,6.95,6.99,4.26,206.95,0.99,0.9,Near Colorless,Slightly Included
1.01,Premium,G,SI2,59.1,59.0,4242,6.55,6.51,3.86,164.59,1.01,1.0,Near Colorless,Slightly Included
0.3,Very Good,F,SI2,63.5,57.0,506,4.25,4.22,2.69,48.25,1.01,0.9,Colorless,Slightly Included
0.28,Very Good,E,VS1,59.5,59.0,487,4.29,4.35,2.57,47.96,0.99,0.99,Colorless,Very Slightly Included
0.51,Premium,F,SI2,61.1,59.0,1227,5.15,5.09,3.13,82.05,1.01,0.97,Colorless,Slightly Included
0.52,Ideal,I,VS2,61.9,58.0,1232,5.14,5.17,3.19,84.77,0.99,0.94,Near Colorless,Very Slightly Included
0.52,Premium,G,VVS1,59.2,58.0,2153,5.31,5.28,3.14,88.04,1.01,0.98,Near Colorless,Very Very Slightly Included
0.3,Good,D,SI2,63.3,57.0,447,4.26,4.3,2.71,49.64,0.99,0.9,Colorless,Slightly Included
0.51,Very Good,D,SI1,62.2,58.0,1398,5.08,5.11,3.17,82.29,0.99,0.93,Colorless,Slightly Included
0.42,Premium,D,VVS2,62.8,59.0,1241,4.76,4.73,2.98,67.09,1.01,0.94,Colorless,Very Very Slightly Included
1.82,Premium,H,VS2,61.6,60.0,14749,7.78,7.74,4.78,287.84,1.01,0.97,Near Colorless,Very Slightly Included
0.7,Very Good,E,VS2,58.9,60.0,2845,5.83,5.85,3.44,117.32,1.0,1.02,Colorless,Very Slightly Included
1.37,Ideal,G,VVS2,62.3,55.5,12207,7.05,7.14,4.43,222.99,0.99,0.89,Near Colorless,Very Very Slightly Included
1.0,Premium,G,SI2,62.7,59.0,4095,6.3,6.36,3.97,159.07,0.99,0.94,Near Colorless,Slightly Included
1.2,Ideal,G,SI2,61.1,57.0,5722,6.83,6.86,4.18,195.85,1.0,0.93,Near Colorless,Slightly Included
1.01,Premium,E,VS1,62.0,59.0,7964,6.42,6.38,3.97,162.61,1.01,0.95,Colorless,Very Slightly Included
0.5,Ideal,H,SI1,61.7,58.0,1035,5.07,5.11,3.14,81.35,0.99,0.94,Near Colorless,Slightly Included
